id,name,description
0,봉피양 판교점,"평양냉면, 돼지목심본갈비, 벽제설렁탕, 한우생갈비을 제공하는 한식 음식점"
1,원조감자탕일미집 판교점,"감자탕백반, 감자탕, 감자사리을 제공하는 한식 음식점"
2,됐소 판교점,"꽃등심, 삼겹살, 투뿔등심, 안심, 치마살을 제공하는 한식 음식점"
3,황제갈비,"생갈비,  생토시을 제공하는 한식 음식점"
4,해도락,"사시미 정식A, 보리굴비 정찬, 전복버섯돌솥밥, 사시미 정식B, 사시미 정식C을 제공하는 한식 음식점"
5,뻘낙지한마당,"낙지비빔밥, 산낙지비빔밥, 무안뻘산낙지, 문어숙회, 벌교 참 꼬막을 제공하는 한식 음식점"
6,수작,"한돈꽃삼겹 관자 삼합, 아롱사태 수육무침 굴림만두샤브 세트, 수제 굴림만두 소고기 샤브샤브, 소고기 샤브샤브, 메밀 비빔냉면을 제공하는 한식 음식점"
7,닭갈비야,"치즈닭갈비, 닭갈비을 제공하는 한식 음식점"
8,현대옥 판교점,"얼큰 돼지국밥, 전주끓이는식 콩나물국밥, 전주남부시장식 콩나물국밥, 현대옥 스테이크, 어린이용 콩나물국밥을 제공하는 한식 음식점"
9,토속상황삼계탕,"상황삼계탕, 한방삼계탕, 들깨삼계탕, 뚝닭이, 낙지볶음비빔밥을 제공하는 한식 음식점"
10,원조부안집 판교직영점,"육즙목살, 쫀득살, 숙성삼겹, 쫄깃껍데기, 살얼음 물쫄면을 제공하는 한식 음식점"
11,강릉엄지네꼬막집 판교점,"강릉 엄지네 꼬막 비빔밥, 강릉 엄지네 꼬막 무침, 강오순오징어순대, 꼬막전, 꼬막 이슬 만두을 제공하는 한식 음식점"
12,밥볶다,"고추장불백, 간장불백, 맵콩우삼겹, 뚝배기제육, 옛날삼겹살저녁메뉴을 제공하는 한식 음식점"
13,만리어 장어 판교유스페이스점,"디너 장어오마카세 코스, 런치 장어오마카세우나쥬 장어덮밥, 새해이벤트 장어한마리제공, 민물장어구이 한마리, 장어추가한마리을 제공하는 일식 음식점"
14,소호얼크니샤브칼국수&바지락칼국수본점,"얼크니샤브칼국수, 맑은샤브칼국수, 바지락칼국수듬뿍, 줄서는집 들기름막국수, 속초코다리 막국수을 제공하는 한식 음식점"
15,삼산회관 판교유스페이스점,"아롱사태 수육전골, 아롱사태 수육무침, 찌개한상 세트혼자, 돼지김치구이 세트소, 김치닭갈비 세트소을 제공하는 한식 음식점"
16,명품보쌈,"보쌈정식, 김치찌게, 소고기 미역국밥, 소고기 국밥, 명품국수을 제공하는 한식 음식점"
17,신제주해장국 판교점,"선지해장국, 특해장국, 소고기해장국, 설렁탕, 곱창전골을 제공하는 한식 음식점"
18,불고기 온소반 점심저녁회식명가,"마늘 소갈비살 불고기, 고추장 섞어 불고기, 고추장 돼지 불고기, 버섯 불고기 뚝배기, 전통 소고기 청국장을 제공하는 한식 음식점"
19,원조 닭한마리 칼국수,"닭한마리칼국수인분얼큰한맛, 닭한마리칼국수인분담백한맛, 한방삼계탕, 한방반계탕, 냉콩국수을 제공하는 한식 음식점"
20,미쁜 선순대,"순대국, 인삼순대국, 뼈해장국, 콩나물국밥, 찹쌀순대을 제공하는 한식 음식점"
21,듬박이찌개 판교점,"진짜 김치찌개, 중독 김치짜박이, 매운 돼지김치찜, 보들 계란말이, 볶음 '그잡채을 제공하는 한식 음식점"
22,고점자칼국수만두,"바지락칼국수, 바지락수제비, 들깨수제비, 만두국, 버섯만두전골 중을 제공하는 한식 음식점"
23,한식식당,한정식을 제공하는 한식 음식점
24,만찬,한식뷔페을 제공하는 구내식당 음식점
25,화포식당 판교점,"명품 한우 꽃등심, 숙성 통 삼겹살, 구워먹는 임실치즈, 화포술밥된장술밥, 명품 한우 차돌을 제공하는 한식 음식점"
26,쉐프의삼겹살 판교점,"묵은지 삼겹살 도시락, 냉면삼겹살세트, 곱배기도시락을 제공하는 한식 음식점"
27,팔복 판교,"팔복 초마, 쑤저우 연잎 동파육小, 전가복본토정통, 팔복 특품 양장피,통 관자 배추찜을 제공하는 중식 음식점"
28,라운지목화 동판교관,"아보카도크림새우, 마라크림면, 유린기, 고추잡채, 광동식가리비찜을 제공하는 중식 음식점"
29,차엔,"와인탕수육, 차돌짬뽕, 마라해물짜장, 전가복, 차엔짜장을 제공하는 중식 음식점"
30,중경별곡마라탕상궈,"마라샹궈, 마라탕, 꿔바로우, 향라새우, 마라쇼룽샤을 제공하는 중식 음식점"
31,홍짜장,"짜장면, 짬뽕, 홍짜장을 제공하는 중식 음식점"
32,베이징스토리 중국집,"자장면, 만코스, 굴짬뽕, 삼선우동, 탕수육을 제공하는 중식 음식점"
33,리치앤,"차돌짬뽕, 찹쌀탕수육, 짜장면, 짬뽕, 해물야채볶음밥을 제공하는 중식 음식점"
34,보배반점 판교점,"불맛작살 소고기짬뽕, 얼큰시원 해물짬뽕, 가성비갑 해물쟁반짜장, 통마리 통오징어짬뽕, 불맛나는 보배짬뽕을 제공하는 중식 음식점"
35,제프리웍,"Combo, 오렌지치킨을 제공하는 아시아식 음식점"
36,오한수 우육면가 판교점,"홍콩식 우육탕면, 군만두 P, 청경채 도가니 양지탕면, 매운양곱창탕면, 홍콩완탕면을 제공하는 중식 음식점"
37,락앤웍,"탕수육 중, 삼선짜장면, 삼선짬뽕, 삼선우동 ,사천탕면, 삼선짬뽕밥 ,해산물볶음밥을 제공하는 중식 음식점"
38,빈티지1988,"본 인 립아이, 샐러드, 파스타, 피자, 리조또을 제공하는 양식 음식점"
39,구우트,"Raclette, Sweet Pumpkin Sujebi, Not Cola It's Rucola, rrata rrata Burrata, Oh Lasagna를 제공하는 양식 음식점"
40,브루클린 피자,"할라피뇨피자, 페퍼로니피자, 치즈피자, 고르곤졸라피자, 시금치피자를 제공하는 양식 음식점"
41,써브웨이 판교테크노밸리점,이탈리안 비엠티을 제공하는 양식 음식점
42,BURRIT POP,"파히타 플레이트, 피그 플레이트을 제공하는 양식 음식점"
43,아몬드봉봉오트밀,아몬드스테이크을 제공하는 양식 음식점
44,판교블루스,"피맥세트, 소맥세트, 치맥세트을 제공하는 양식, 패스트푸드 음식점"
45,헤비스테이크 판교테크노밸리점,"비프 스테이크, 불고기 버터밥, 치킨 스테이크바베큐, 칠리, 더블함박 스테이크, 빅파이브 스테이크을 제공하는 양식 음식점"
46,맥도날드 판교테크노밸리점,"빅맥 세트, 맥스파이시 상하이 버거 세트,  버거 세트, 불고기 버거 세트, 슈슈 버거 세트을 제공하는 패스트푸드 음식점"
47,테이블스푼컵스프,"찹스테이크세트, 빠네스프PANE SOUP, 초당옥수수 스프, 단호박크림스프, 당근스프을 제공하는 양식 음식점"
48,베어스타코 판교점,비프타코을 제공하는 양식 음식점
49,GTS버거 판교점,Gts 버거을 제공하는 패스트푸드 음식점
50,일류 판교,"스페셜 사시미, 돈코츠 라멘, 매운 돈코츠 라멘, 쇼우 라멘, 쿠로시오 라멘을 제공하는 일식 음식점"
51,일상화식,"모듬회덮밥, 스테이크 덮밥, 왕새우 튀김, 명란 점보 계란말이, 해물 떡볶이을 제공하는 일식 음식점"
52,우나기강 판교점,"우나쥬, 히쯔마부시을 제공하는 일식 음식점"
53,천야,"모듬사시미, 모찌리도후, 도미머리조림, 굴튀김을 제공하는 일식 음식점"
54,면학,"백면, 홍면, 장면, 청면, 오코노미야끼을 제공하는 일식 음식점"
55,포크포크,"샐러드돈가스, 치즈돈가스, 매운돈가스, 매콤돈가스, 달달돈가스을 제공하는 일식 음식점"
56,이치노야,"Lunch 모듬초밥pcs, Lunch 모듬초밥pcs, Lunch 모듬초밥pcs, 이치노야숙성사시미인, 방어사시미을 제공하는 일식 음식점"
57,율 판교점,"연어뱃살동, 사케동, 스테이크동, 김치규동, 규동을 제공하는 일식 음식점"
58,하루,"새우 붕장어 텐자루 소바, 점심 코스, 디너 오마카세을 제공하는 일식 음식점"
